SUBJECT,COURSE,SECTION,courseTitle,BOOKTITLE,ISBN,PUBLISHER,REQUIRED,PRICES,MinPrice,enrollment,MinVal
NURS,3530,19437,MEDICAL SURGICAL II,Brunner & Suddarth's Medical-Surgical Nursing (CoursePoint+ Enhanced Access Card),9781975186777,LIPPINCOTT WILLIAMS & WILKINS,Required,"New $319.99,",319.99,132,42238.68
ACCT,2102,10001,PRIN OF ACCT II,GEORGIA STATE UNIVERSITY ACCT 2101,9781266245626,McGraw-Hill Higher Education,Required,"Digital $96.00,",96.0,334,32064.0
POLS,1101,12585,AMERICAN GOVERNMENT,Custom Authoring Bundle: Understanding the American Way of Government & Politics,9781774947180,Top Hat Monocle,Required,"Digital $75.00,",75.0,399,29925.0
ACCT,2102,15267,PRIN OF ACCT II,GEORGIA STATE UNIVERSITY ACCT 2101,9781266245626,McGraw-Hill Higher Education,Required,"Digital $96.00,",96.0,299,28704.0
ACCT,2101,10903,PRIN OF ACCT I,GEORGIA STATE UNIVERSITY ACCT 2101,9781266245626,McGraw-Hill Higher Education,Required,"Digital $96.00,",96.0,287,27552.0
NURS,4110,19438,CARING FOR CHILDBEARING FAM,CoursePoint+ for Ricci/Kyle Maternity & Pediatric Nursing 5th edition (Acc Code),9781975246112,Wolters Kluwer Health / Lippincott Williams & Wilkins,Required,"New $306.65,",306.65,89,27291.85
LAW,5050,18462,PROPERTY,Dukeminier & Krier's Property: Concise Edition Connected eBook with Study Center,9798889066187,Aspen Publishing,Required,"New $320.00,",320.0,81,25920.0
NURS,4115,19439,CARING FOR CHILDREN AND ADOLES,CoursePoint+ for Ricci/Kyle Maternity & Pediatric Nursing 5th edition (Acc Code),9781975246112,Wolters Kluwer Health / Lippincott Williams & Wilkins,Required,"New $306.65,",306.65,84,25758.6
NUTR,2100,12600,PRINCIPLES OF NUTRITION,Understanding Nutrition,9780357447512,Cengage Learning,Required,"Used $115.19, Digital $50.99, Digital $69.99, Used $205.75, New $274.25, Digital $88.99,",50.99,426,21721.74
NURS,2200,18611,INTRO TO CLINICAL NUTRITION,Nutrit Essent Nurs Pract 9e (us Ed),9781975161125,Wolters Kluwer Health / Lippincott Williams & Wilkins,Required,"New $106.99,",106.99,200,21398.0
LAW,5000,19819,CIV PRO: FED &amp; CONST ISSUES,Civil Procedure (w/ Connected eBook),9781543856286,Aspen Publishing,Required,"New $352.00,",352.0,57,20064.0
FI,3300,10194,CORPORATION FINANCE,Lectures in Corporate Finance (w/Webcom Access),9781465201478,Kendall Hunt Publishing Company,Required,"New $152.81,",152.81,130,19865.3
CHEM,4600,14575,BIOCHEMISTRY I,Biochemistry Loose Leaf,9781319114800,W. H. Freeman & Company,Required,"Digital $107.99, Used $166.50, New $221.75,",107.99,178,19222.219999999998
LAW,7117,11967,CON LAW II: INDIV LIBERTIES,Processes of Constitutional Decisionmaking,9781543838558,Aspen Publishing,Required,"New $352.00,",352.0,53,18656.0
ECON,2100,10505,GLOBAL ECONOMICS,Intro to the Global Economy (Access code Pak),9781792462061,Kendall Hunt Publishing Company,Required,"New $123.00,",123.0,130,15990.0
ECON,2100,11759,GLOBAL ECONOMICS,Intro to the Global Economy (Access code Pak),9781792462061,Kendall Hunt Publishing Company,Required,"New $123.00,",123.0,130,15990.0
PSYC,1101,12242,INTRO TO GENERAL PSYCHOLOGY,"Georgia State University, Achieve for Psychology in Everyday Life 6e (1-Term Online)",9781319612894,MPS (Macmillan Publishers),Required,"Digital $48.00,",48.0,333,15984.0
ECON,2100,10504,GLOBAL ECONOMICS,Intro to the Global Economy (Access code Pak),9781792462061,Kendall Hunt Publishing Company,Required,"New $123.00,",123.0,129,15867.0
LAW,5000,19817,CIV PRO: FED &amp; CONST ISSUES,Civil Procedure (w/ Connected eBook),9781543856286,Aspen Publishing,Required,"New $352.00,",352.0,45,15840.0
LAW,5000,21880,CIV PRO: FED &amp; CONST ISSUES,Civil Procedure (w/ Connected eBook),9781543856286,Aspen Publishing,Required,"New $352.00,",352.0,45,15840.0
NUTR,3100,11790,NUTRITION AND HEALTH,Pearson etext for Nutrition and You--Instant Access,9780137652761,Pearson+ Subscriptions,Required,"Digital $50.94,",50.94,304,15485.759999999998
POLS,1101,15340,AMERICAN GOVERNMENT,Custom Authoring Bundle: Understanding the American Way of Government & Politics,9781774947180,Top Hat Monocle,Required,"Digital $75.00,",75.0,196,14700.0
ECON,4810,14092,INTERNATIONAL FINANCE,International Macroeconomics,9781319218423,"Worth Publishers, Incorporated",Required,"Used $251.25, New $334.75,",251.25,55,13818.75
NURS,3065,19433,PATHOPHYSIOLOGY,Porth's Essen of Pathophysiology (Lippincott CoursePoint Enh Access code),9781975128920,Wolters Kluwer Health / Lippincott Williams & Wilkins,Required,"New $169.32,",169.32,80,13545.599999999999
BIOL,2260,17597,FOUNDATIONS OF MICROBIOLOGY,"LSC (GEORGIA STATE UNIVERSITY) BIOL 2300/2310: REDSHELF Connect for Nester's Microbiology: A Human Perspective, 180 Day Access ENTRP",9781264547937,McGraw-Hill Higher Education,Required,"Digital $126.75,",126.75,104,13182.0
BIOL,2260,12606,FOUNDATIONS OF MICROBIOLOGY,"LSC (GEORGIA STATE UNIVERSITY) BIOL 2300/2310: REDSHELF Connect for Nester's Microbiology: A Human Perspective, 180 Day Access ENTRP",9781264547937,McGraw-Hill Higher Education,Required,"Digital $126.75,",126.75,103,13055.25
BIOL,2260,11129,FOUNDATIONS OF MICROBIOLOGY,"LSC (GEORGIA STATE UNIVERSITY) BIOL 2300/2310: REDSHELF Connect for Nester's Microbiology: A Human Perspective, 180 Day Access ENTRP",9781264547937,McGraw-Hill Higher Education,Required,"Digital $126.75,",126.75,103,13055.25
POLS,1101,14502,AMERICAN GOVERNMENT,Custom Authoring Bundle: Understanding the American Way of Government & Politics,9781774947180,Top Hat Monocle,Required,"Digital $75.00,",75.0,171,12825.0
LAW,5080,17392,LEGISLATION AND REGULATION,"Legislation & Regulation, Cases & Materials",9781647085438,West Academic,Required,"Used $202.50, New $270.00,",202.5,63,12757.5
BIOL,2260,12748,FOUNDATIONS OF MICROBIOLOGY,"LSC (GEORGIA STATE UNIVERSITY) BIOL 2300/2310: REDSHELF Connect for Nester's Microbiology: A Human Perspective, 180 Day Access ENTRP",9781264547937,McGraw-Hill Higher Education,Required,"Digital $126.75,",126.75,100,12675.0
LAW,7167,19842,CRIMINAL PROC: ADJUDICATION,Criminal Procedure,9781543804386,Aspen Publishing,Required,"New $284.00, Digital $213.00,",213.0,59,12567.0
ACCT,2102,15714,PRIN OF ACCT II,GEORGIA STATE UNIVERSITY ACCT 2101,9781266245626,McGraw-Hill Higher Education,Required,"Digital $96.00,",96.0,130,12480.0
LAW,5080,17393,LEGISLATION AND REGULATION,"Legislation & Regulation, Cases & Materials",9781647085438,West Academic,Required,"Used $202.50, New $270.00,",202.5,60,12150.0
MATH,1113,10525,PRECALCULUS,MyLab Math with Pearson eText -- Access Card -- for College Algebra and Trigonometry (18-Weeks),9780135923221,Pearson,Required,"Digital $120.00,",120.0,100,12000.0
MATH,1111,10251,COLLEGE ALGEBRA,MyLab Math with Pearson eText Access Code (18 weeks) for College Algebra: Concepts Through Functions,9780138120887,Pearson,Required,"Digital $120.00,",120.0,100,12000.0
LAW,5020,11458,CRIMINAL LAW,"Criminal Law: Problems, Statutes, & Cases",9781531017361,Carolina Academic Press,Required,"Used $149.25, New $199.00, Digital $150.00,",149.25,79,11790.75
NURS,3162,18306,MEDICAL SURGICAL I,Fund of Nursing (CoursePoint Access Card),9781975204266,Wolters Kluwer Health / Lippincott Williams & Wilkins,Required,"New $206.65,",206.65,57,11779.050000000001
MUA,1930,10270,"MUSIC, SOCIETY, AND CULTURE","Connect Online Access for Music: An Appreciation, Brief",9781264029709,McGraw-Hill,Required,"Digital $130.00,",130.0,90,11700.0
NUTR,4960,12517,NUTRI &amp; PHYSICAL FITNESS,MindTap Nutrition Dunford/Doyle's Nutrition for Sport and Exercise,9780357448182,Cengage Learning,Required,"Digital $130.00,",130.0,84,10920.0
MATH,1113,12865,PRECALCULUS,MyLab Math with Pearson eText -- Access Card -- for College Algebra and Trigonometry (18-Weeks),9780135923221,Pearson,Required,"Digital $120.00,",120.0,90,10800.0
MATH,1113,21573,PRECALCULUS,MyLab Math with Pearson eText Access Code (18 Weeks) for College Algebra and Trigonometry,9780135923221,Pearson,Required,"Digital $120.00,",120.0,90,10800.0
MATH,1113,12932,PRECALCULUS,MyLab Math with Pearson eText -- Access Card -- for College Algebra and Trigonometry (18-Weeks),9780135923221,Pearson,Required,"Digital $120.00,",120.0,90,10800.0
MATH,1113,12868,PRECALCULUS,MyLab Math with Pearson eText -- Access Card -- for College Algebra and Trigonometry (18-Weeks),9780135923221,Pearson,Required,"Digital $120.00,",120.0,90,10800.0
PHYS,1112K,11084,INTRODUCTORY PHYSICS II,Modified Mastering Physics with Pearson eText -- Standalone Access Card -- for College Physics: A Strategic Approach,9780134724744,Pearson,Required,"Digital $200.00,",200.0,54,10800.0
PHYS,1112K,11085,INTRODUCTORY PHYSICS II,Modified Mastering Physics with Pearson eText -- Standalone Access Card -- for College Physics: A Strategic Approach,9780134724744,Pearson,Required,"Digital $200.00,",200.0,54,10800.0
MATH,1113,12866,PRECALCULUS,MyLab Math with Pearson eText Access Code (18 Weeks) for College Algebra and Trigonometry,9780135923221,Pearson,Required,"Digital $120.00,",120.0,90,10800.0
LAW,5020,12667,CRIMINAL LAW,Criminal Law (w/Bind-in Access Code),9781454868217,Aspen Publishing,Required,"Used $125.16, Used $223.50,",125.16,86,10763.76
BIOL,2108,15591,PRINCIPLES OF BIOLOGY II,"Modified Mastering Biology with eText Electronic Access Code for Campbell Biology in Focus, 3e, 6-Month TBA, for GEORGIA STATE UNIVERSITY",9780138263270,Pearson,Required,"Digital $85.50,",85.5,124,10602.0
PHYS,1111K,15038,INTRODUCTORY PHYSICS I,Modified Mastering Physics with Pearson eText -- Standalone Access Card -- for College Physics: A Strategic Approach,9780134724744,Pearson,Required,"Digital $200.00,",200.0,53,10600.0
PHYS,1111K,18136,INTRODUCTORY PHYSICS I,Modified Mastering Physics with Pearson eText -- Standalone Access Card -- for College Physics: A Strategic Approach,9780134724744,Pearson,Required,"Digital $200.00,",200.0,53,10600.0
LAW,7216,18410,FAMILY LAW,Family Law,9781543838886,Aspen Publishing,Required,"New $352.00, Digital $352.00,",352.0,30,10560.0
POLS,1101,10350,AMERICAN GOVERNMENT,Custom Authoring Bundle: Understanding the American Way of Government & Politics,9781774947180,Top Hat Monocle,Required,"Digital $75.00,",75.0,136,10200.0
