0,1,2,3,4,5,6,7,8,9,10,11,12,13
NUTR,2100,12600,403,Understanding Nutrition,Required,"Used $115.19, Digital $50.99, Digital $69.99, Used $205.75, New $274.25, Digital $88.99,",Edition: 16th,ISBN: 9780357447512,Author: Whitney,Publisher: Cengage Learning,"Formats: Hardcover, BryteWave Format",Copyright Year: 2022,Publication Date: TBD
POLS,1101,12585,403,Custom Authoring Bundle: Understanding the American Way of Government & Politics,Required,"Digital $75.00,",Edition: 1st,ISBN: 9781774947180,Author: Top Hat,Publisher: Top Hat Monocle,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
ACCT,2102,10001,403,GEORGIA STATE UNIVERSITY ACCT 2101,Required,"Digital $96.00,",Edition: 9th,ISBN: 9781266245626,Author: Wild,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
BUSA,1105,15779,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
PSYC,1101,12242,403,"Georgia State University, Achieve for Psychology in Everyday Life 6e (1-Term Online)",Required,"Digital $48.00,",Edition: 6th,ISBN: 9781319612894,Author: Myers,Publisher: MPS (Macmillan Publishers),Formats: Adobe Ebook Reader,Publication Date: TBD,
PSYC,1101,13053,403,NO BOOKS FOR COURSE,,,,,,,,,
NUTR,3100,11790,403,Nutrition & You (RRPHE),Required,"Used $79.99, New $79.99, Digital $116.25,",Edition: 6th,ISBN: 9780137652860,Author: Blake,Publisher: PH - (Rental Rev Share) IST from 1594 ONLY,"Formats: Hardcover, BryteWave Format",Copyright Year: 2023,Publication Date: TBD
NUTR,3100,11790,403,Pearson etext for Nutrition and You--Instant Access,Required,"Digital $50.94,",Edition: 6th,ISBN: 9780137652761,Author: Blake,Publisher: Pearson+ Subscriptions,Formats: BryteWave Format,Publication Date: TBD,
PERS,2001,17041,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
ACCT,2102,15267,403,GEORGIA STATE UNIVERSITY ACCT 2101,Required,"Digital $96.00,",Edition: 9th,ISBN: 9781266245626,Author: Wild,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
PERS,2002,17323,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
ACCT,2101,10903,403,Top Hat Classroom-One Semester,Required,"Digital $35.25,",ISBN: 9780986615108,Author: Hat,Publisher: Top Hat Monocle,Formats: BryteWave Format,Publication Date: TBD,,
ACCT,2101,10903,403,GEORGIA STATE UNIVERSITY ACCT 2101-2102,Required Choose Only 1 of 2,"Digital $170.75,",Edition: 9th,ISBN: 9781264929467,Author: Wild,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
ACCT,2101,10903,403,GEORGIA STATE UNIVERSITY ACCT 2101,Required Choose Only 1 of 2,"Digital $96.00,",Edition: 9th,ISBN: 9781266245626,Author: Wild,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
ACCT,2101,11315,403,Top Hat Classroom-One Semester,Required,"Digital $35.25,",ISBN: 9780986615108,Author: Hat,Publisher: Top Hat Monocle,Formats: BryteWave Format,Publication Date: TBD,,
ACCT,2101,11315,403,GEORGIA STATE UNIVERSITY ACCT 2101-2102,Required,"Digital $170.75,",Edition: 9th,ISBN: 9781264929467,Author: Wild,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
ACCT,2101,11315,403,GEORGIA STATE UNIVERSITY ACCT 2101,Required,"Digital $96.00,",Edition: 9th,ISBN: 9781266245626,Author: Wild,Publisher: McGraw-Hill Higher Education,Formats: Adobe Ebook Reader,Copyright Year: 2022,Publication Date: TBD
CHEM,2400,16453,403,Molecular Model Kit,Recommended,"New $31.50,",Edition: 2nd,ISBN: 9780615377193,Author: Andrus Education,Publisher: Andrus Educational Supplies,,Copyright Year: 2005,Publication Date: TBD
NURS,2200,18611,403,Nutrit Essent Nurs Pract 9e (us Ed),Required,"New $106.99,",Edition: 9th,ISBN: 9781975161125,Author: Dudek,Publisher: Wolters Kluwer Health / Lippincott Williams & Wilkins,Formats: PAPERBACK,Publication Date: TBD,
BUSA,1105,17437,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
CIS,3205,19072,403,Course Materials have not been determined. Check back soon for updates.,,,,,,,,,
